client_code,product,push_notification
31,Кредитная карта,"Дамир, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈67 465 ₸/мес. Оформить карту."
32,Кредитная карта,"Алия, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈100 411 ₸/мес. Оформить карту."
33,Кредитная карта,"Мерей, ваши топ-категории — Продукты питания, Кафе и рестораны, АЗС. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈78 962 ₸/мес. Оформить карту."
34,Кредитная карта,"Инкар, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈70 195 ₸/мес. Оформить карту."
35,Кредитная карта,"Самат, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈94 192 ₸/мес. Оформить карту."
36,Кредитная карта,"Назым, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈68 456 ₸/мес. Оформить карту."
37,Кредитная карта,"Гульнар, ваши топ-категории — Продукты питания, Кафе и рестораны, Смотрим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈64 083 ₸/мес. Оформить карту."
38,Кредитная карта,"Серик, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈100 243 ₸/мес. Оформить карту."
39,Кредитная карта,"Ляззат, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈72 793 ₸/мес. Оформить карту."
40,Кредитная карта,"Асхат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈87 622 ₸/мес. Оформить карту."
41,Кредитная карта,"Сандугаш, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈73 225 ₸/мес. Оформить карту."
42,Кредитная карта,"Рустем, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈100 175 ₸/мес. Оформить карту."
43,Кредитная карта,"Нуртас, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈64 013 ₸/мес. Оформить карту."
44,Кредитная карта,"Айнагуль, ваши топ-категории — Продукты питания, Кафе и рестораны, Играем дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈64 448 ₸/мес. Оформить карту."
45,Кредитная карта,"Диана, ваши топ-категории — Кафе и рестораны, Ремонт дома, Ювелирные украшения. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈153 032 ₸/мес. Оформить карту."
46,Кредитная карта,"Арсен, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈66 479 ₸/мес. Оформить карту."
47,Кредитная карта,"Камшат, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈76 779 ₸/мес. Оформить карту."
48,Кредитная карта,"Ержан, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈63 890 ₸/мес. Оформить карту."
49,Кредитная карта,"Амина, ваши топ-категории — Продукты питания, Кафе и рестораны, Путешествия. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈83 133 ₸/мес. Оформить карту."
50,Кредитная карта,"Тимурлан, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈87 698 ₸/мес. Оформить карту."
51,Кредитная карта,"Жанат, ваши топ-категории — Продукты питания, Кафе и рестораны, АЗС. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈68 911 ₸/мес. Оформить карту."
52,Кредитная карта,"Милана, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈93 267 ₸/мес. Оформить карту."
53,Кредитная карта,"Расул, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈75 312 ₸/мес. Оформить карту."
54,Кредитная карта,"Виктория, ваши топ-категории — Отели, Кафе и рестораны, Продукты питания. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈142 615 ₸/мес. Оформить карту."
55,Кредитная карта,"Асель, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈87 744 ₸/мес. Оформить карту."
56,Кредитная карта,"Нуркен, ваши топ-категории — Продукты питания, Отели, Кафе и рестораны. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈82 481 ₸/мес. Оформить карту."
57,Кредитная карта,"Жания, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈100 141 ₸/мес. Оформить карту."
58,Кредитная карта,"Султан, ваши топ-категории — Продукты питания, Кафе и рестораны, Кино. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈64 515 ₸/мес. Оформить карту."
59,Кредитная карта,"Динара, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈83 262 ₸/мес. Оформить карту."
60,Кредитная карта,"Ермек, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈71 204 ₸/мес. Оформить карту."
